DOY   hrmin     Vbar    SDVn
114    900      5.66    0.79
114   1000      6.36    0.79
114   1100      6.22    0.96
114   1200      7.13    0.94
114   1300      6.25    0.94
114   1400      5.44    0.97
114   1500      5.72    0.96
114   1600      5.59    0.88
114   1700      5.02    0.67
114   1800      5.01    0.67
114   1900      4.85    0.56
114   2000      4.46    0.50
114   2100      3.04    0.39
114   2200      3.04    0.40
114   2300      2.71    0.60
114   2400      1.90    0.84
115    100      1.60    0.43
115    200      2.13    0.60
115    300      1.41    0.50
115    400      2.55    0.25
115    500      2.14    0.36
115    600      1.92    0.52
115    700      1.50    0.35
115    800      0.91    0.31
115    900      1.66    0.55
115   1000      2.88    0.86
115   1100      3.68    0.96
115   1200      3.61    0.82
115   1300      4.51    0.88
115   1400      4.50    0.82
115   1500      3.37    0.86
115   1600      3.55    0.66
115   1700      2.17    0.57
115   1800      1.43    0.30
115   1900      1.01    0.43
115   2000      2.17    0.51
115   2100      3.10    0.47
115   2200      2.82    0.52
115   2300      2.34    0.71
115   2400      4.39    0.86
116    100      1.26    0.62
116    200      2.07    0.55
116    300      3.17    0.56
116    400      3.50    0.39
116    500      3.71    0.63
116    600      4.09    0.70
116    700      2.72    0.58
116    800      2.09    0.48
116    900      2.20    0.67
116   1000      1.71    0.67
116   1100      1.86    0.91
116   1200      1.33    0.71
116   1300      2.12    0.63
116   1400      1.67    0.66
116   1500      1.93    0.74
116   1600      1.55    0.70
116   1700      1.70    0.54
116   1800      1.75    0.51
116   1900      0.68    0.24
116   2000      2.33    0.19
116   2100      3.15    0.35
116   2200      2.34    0.41
116   2300      3.28    0.39
116   2400      3.61    0.34
117    100      2.74    0.42
117    200      1.99    0.39
117    300      2.87    0.35
117    400      3.00    0.32
117    500      1.83    0.49
117    600      1.58    0.48
117    700      0.79    0.30
117    800      1.15    0.34
117    900      1.16    0.47
117   1000      1.70    0.47
117   1100      2.02    0.56
117   1200      2.50    0.84
117   1300      2.60    0.80
117   1400      2.67    0.74
117   1500      2.03    0.55
117   1600      1.73    0.62
118    100      2.46    0.52
118    200      2.45    0.42
118    300      2.24    0.55
118    400      1.83    0.72
118    500      1.76    0.40
118    600      1.96    0.21
118    700      0.92    0.31
118    800      0.46    0.22
118    900      0.78    0.34
118   1000      1.10    0.35
118   1100      1.17    0.55
118   1200      3.31    0.68
118   1300      5.41    0.95
118   1400      4.81    1.14
118   1500      5.71    1.30
118   1600      6.29    1.16
118   1700      7.13    1.92
118   1800      3.28    1.32
118   1900      1.94    0.63
118   2000      2.31    1.11
118   2100      2.78    0.49
118   2200      2.58    1.20
118   2300      1.71    0.74
118   2400      2.38    0.39
119    100      2.76    0.39
119    200      2.31    0.37
119    300      2.03    0.36
119    400      2.72    0.43
119    500      3.02    0.46
119    600      3.14    0.33
119    700      3.15    0.29
119    800      1.81    0.45
119    900      2.89    0.55
119   1000      4.97    0.76
119   1100      4.89    1.08
120    100      1.97    0.57
120    200      2.79    0.37
120    300      1.97    0.70
120    400      1.72    0.59
120    500      2.77    0.62
120    600      1.47    0.35
120    700      1.67    0.59
120    800      1.73    0.64
120    900      7.24    0.99
120   1000      7.50    1.16
120   1200      4.77    1.30
120   1300      5.58    1.59
120   1400      7.34    1.94
120   1500      6.43    1.63
120   1600      7.77    1.28
120   1700      7.90    1.18
120   1800      7.01    0.95
120   1900      4.49    0.61
120   2000      3.80    0.46
120   2100      3.02    0.68
120   2200      2.59    0.78
120   2300      2.72    0.43
120   2400      2.14    0.47
121    100      1.58    0.42
121    200      1.29    0.51
121    300      1.96    0.92
121    400      1.50    0.63
121    500      2.11    0.26
121    600      2.24    0.15
121    700      1.34    0.46
121    800      1.46    0.28
121    900      2.07    0.63
121   1000      1.79    0.69
121   1100      2.52    1.03
121   1200      2.16    0.89
121   1300      3.15    1.11
121   1400      3.10    1.23
121   1500      3.08    0.81
121   1600      3.08    0.84
121   1700      2.44    0.56
121   1800      3.59    0.68
121   1900      4.08    1.14
121   2000      3.45    0.55
121   2100      1.84    0.53
121   2400      1.85    0.38
122    100      1.39    0.13
122    200      1.26    0.21
122    300      1.21    0.12
122   1300      4.17    0.74
122   1400      3.43    0.85
122   1500      2.32    0.76
122   1600      2.38    0.68
122   1700      2.51    0.76
122   1800      2.33    0.48
122   1900      2.44    0.43
122   2000      2.96    0.52
122   2100      1.26    0.30
122   2300      1.83    0.46
122   2400      1.33    0.29
123    700      1.20    0.48
123    800      1.18    0.49
123    900      1.67    0.43
123   1000      2.36    0.56
123   1100      2.53    0.69
123   1200      1.90    0.49
123   1300      2.03    0.68
