YEAR  DOY hrmin   Ta     Td      D     stdTa    Dir     V    ustar    z/L      H     LE      FluxAvg      FluxStd      FluxVar    FluxSkew    FluxKurt   Records
2018  94   600   -0.3  -12.4   359.4   0.718   304.5   2.0   0.11   -0.479    13.5    3.1   0.113E-05    0.903E-05    0.815E-10    1.2322       8.2978    72000
2018  94   700    0.3  -12.5   388.8   0.614   317.0   2.1   0.09   -0.336     4.8    2.7   0.103E-05    0.644E-05    0.415E-10    2.8590      26.5935    72000
2018  94   800    2.1  -12.0   466.6   0.790   309.3   1.6   0.12   -0.380    14.7   12.5   0.487E-05    0.116E-04    0.135E-09    2.1594      10.1808    72000
2018  94   900    3.7  -12.6   565.3   0.273    57.1   0.5   0.05   -5.739    19.4   14.8   0.565E-05    0.153E-04    0.234E-09    2.4226      16.1312    72000
2018  94  1000    4.4  -13.1   613.0   0.407   102.3   0.9   0.07   -5.280    42.9   24.9   0.963E-05    0.229E-04    0.522E-09    3.8593      30.3558    72000
2018  94  1100    5.2  -13.1   663.3   0.508    87.6   1.2   0.13   -1.269    59.7   29.9   0.115E-04    0.276E-04    0.763E-09    3.7570      25.4251    72000
2018  94  1200    6.6  -14.3   771.6   0.992    54.1   1.2   0.24   -0.463   139.1   64.4   0.247E-04    0.527E-04    0.278E-08    3.9099      32.7414    72000
2018  94  1300    8.7  -14.0   916.4   0.998    91.1   1.0   0.10   -6.393   132.7   57.9   0.221E-04    0.586E-04    0.344E-08    5.8053     104.5764    72000
2018  94  1400   10.3  -13.6  1039.8   0.731    93.3   1.4   0.18   -0.789    98.3   62.1   0.241E-04    0.591E-04    0.350E-08    5.6472      71.6713    72000
2018  94  1500   11.0  -13.2  1093.5   0.533   115.7   1.7   0.13   -1.354    63.6   47.8   0.188E-04    0.508E-04    0.258E-08    7.1254     131.7405    72000
2018  94  1600   11.9  -12.3  1156.0   0.324   119.7   1.9   0.12   -0.831    31.6   36.8   0.146E-04    0.368E-04    0.136E-08    3.1688      20.0752    72000
2018  94  1700   12.0  -11.9  1153.6   0.132   132.7   1.8   0.16   -0.108     9.1   26.1   0.103E-04    0.286E-04    0.816E-09    3.2332      33.4378    72000
2018  94  1800   11.9  -11.0  1125.8   0.183   141.6   1.8   0.15    0.113    -8.1   18.2   0.734E-05    0.226E-04    0.513E-09    1.5663       8.4465    72000
2018  94  1900   11.4   -8.8  1035.3   0.587   274.7   0.5   0.12    0.436   -17.9    8.1  -0.979E-07    0.621E-04    0.386E-08   -0.0016       7.6186    72000
2018  94  2000   10.0   -7.9   893.5   0.780   276.3   1.7   0.08    0.321    -3.5    4.1   0.120E-05    0.253E-04    0.642E-09    0.7618      11.8172    72000
2018  94  2100    8.0   -8.5   748.6   0.881   315.2   2.6   0.08    1.383   -16.4    4.9   0.209E-05    0.140E-04    0.197E-09    0.9354      12.5626    72000
2018  94  2200    6.3   -8.1   623.7   1.045   336.6   1.8   0.07   -1.479    13.7    2.4   0.858E-06    0.165E-04    0.271E-09    1.3387      12.6633    72000
2018  94  2300    6.2   -5.2   535.8   0.906   330.2   1.9   0.09   -1.187    16.7   -0.1  -0.113E-06    0.201E-04    0.404E-09   -0.1061       5.6992    72000
2018  94  2400    5.2   -4.4   444.4   0.927   324.7   2.2   0.09   -0.480     7.4    5.6   0.213E-05    0.724E-05    0.524E-10    1.1491      10.6028    71999
2018  95   100    4.7   -4.3   409.0   0.523   325.0   3.0   0.06    3.166   -12.1    3.6   0.152E-05    0.826E-05    0.682E-10    1.8707      15.0749    72000
2018  95   200    4.4   -4.2   388.2   0.337   326.8   4.0   0.20    0.174   -30.8    6.2   0.283E-05    0.854E-05    0.729E-10    1.3578       5.6172    72000
2018  95   300    4.3   -4.2   383.5   0.353   321.8   4.0   0.19    0.186   -30.2    5.3   0.249E-05    0.851E-05    0.725E-10    1.6155       8.2382    72000
2018  95   400    4.3   -4.1   380.4   0.383   311.2   3.6   0.19    0.155   -25.0    3.4   0.166E-05    0.642E-05    0.412E-10    1.5495       8.4493    72000
2018  95   500    3.5   -4.1   330.8   1.063   312.7   1.9   0.14    0.448   -25.7    2.4   0.126E-05    0.622E-05    0.387E-10    1.3186       7.2716    72000
2018  95   600    2.0   -4.3   259.9   1.467   308.8   1.3   0.19   -0.299    46.6    3.1   0.690E-06    0.583E-05    0.340E-10    1.6342      10.4035    72000
2018  95   700    3.2   -4.4   330.8   0.851   309.2   2.4   0.12   -0.272    11.4    4.1   0.149E-05    0.920E-05    0.847E-10    3.3942      33.6207    72000
2018  95   800    5.8   -3.8   460.1   1.044   321.3   0.5   0.13   -0.349    16.7   19.8   0.760E-05    0.177E-04    0.313E-09    1.9402      10.1072    72000
2018  95   900    7.9   -3.3   587.7   0.651   117.3   1.0   0.07   -7.168    65.5   39.3   0.148E-04    0.324E-04    0.105E-08    3.4609      23.6319    72000
2018  95  1000    9.4   -2.9   686.5   0.800   135.7   1.6   0.13   -2.728   124.1   66.7   0.251E-04    0.673E-04    0.453E-08    5.7290      86.6524    72000
2018  95  1100   10.3   -3.0   760.8   0.775   145.7   2.9   0.30   -0.234   147.5   80.7   0.305E-04    0.706E-04    0.498E-08    3.1022      18.9978    72000
2018  95  1200   11.2   -3.3   850.8   0.809   174.8   1.5   0.09   -9.819   139.5   76.0   0.287E-04    0.634E-04    0.402E-08    3.3873      22.4481    72000
2018  95  1300   12.1   -3.9   955.5   0.915   182.1   0.8   0.29   -0.299   154.6   83.9   0.315E-04    0.851E-04    0.725E-08    5.6314      78.0377    71987
2018  95  1400   13.9   -2.9  1098.9   1.167   235.8   4.2   0.26   -0.643   244.6  113.5   0.426E-04    0.975E-04    0.951E-08    2.8255      20.6177    72000
2018  95  1500   14.5   -2.8  1151.3   0.951   221.1   2.1   0.27   -0.378   158.5   88.5   0.336E-04    0.832E-04    0.693E-08    3.9416      30.4736    72000
2018  95  1600   13.9   -2.3  1072.3   0.258    41.0   2.3   0.09   -0.798    11.2   38.2   0.152E-04    0.444E-04    0.197E-08    2.7311      14.1475    72000
2018  95  1700   13.9   -2.3  1074.9   0.103    58.4   2.7   0.24   -0.015     4.5   27.2   0.107E-04    0.289E-04    0.833E-09    2.6980      15.7839    72000
2018  95  2000   10.9    1.8   608.6   0.767   283.6   1.3   0.12   -0.073     2.6    5.9   0.208E-05    0.309E-04    0.954E-09    3.4950      64.1010    72000
2018  95  2100   10.5    0.9   619.9   0.427   294.9   2.1   0.08    0.362    -4.1    4.3   0.148E-05    0.204E-04    0.417E-09    1.3185      46.7400    72000
2018  95  2200   10.8    0.8   653.3   0.732   244.9   1.1   0.10    0.580   -13.6   14.0   0.585E-05    0.449E-04    0.201E-08    1.0912      21.9159    72000
2018  95  2300   11.0   -0.6   729.9   0.756   257.0   2.1   0.12    0.600   -21.3   12.1   0.520E-05    0.252E-04    0.634E-09    2.4053      18.8007    72000
2018  95  2400    9.2   -0.9   592.8   0.879   306.9   2.6   0.16   -0.087     7.2    8.1   0.312E-05    0.155E-04    0.241E-09    1.5259       8.9409    71999
2018  96   100    7.8   -0.8   484.3   0.850   339.4   1.0   0.21    0.103   -22.0    7.8   0.221E-05    0.195E-04    0.379E-09    0.2999      10.7167    72000
2018  96   200    7.7   -0.7   470.8   0.761   313.2   1.4   0.12   -0.428    16.9  -11.3  -0.455E-05    0.119E-04    0.142E-09   -0.2388       9.0343    72000
2018  96   300    8.2   -0.9   517.4   0.569   331.3   0.6   0.10   -0.096     2.0   -2.2  -0.737E-06    0.215E-04    0.461E-09   -2.6613      34.7434    72000
2018  96   400    7.5   -0.4   442.2   0.634   298.5   1.3   0.06    1.198    -4.9    2.6   0.929E-06    0.182E-04    0.330E-09    0.5115      12.5874    72000
2018  96   500    8.0   -0.9   502.8   0.295   324.7   2.5   0.14    0.137    -8.6    9.6   0.398E-05    0.154E-04    0.238E-09    1.4163       8.6527    72000
2018  96   600    8.3   -0.9   518.9   0.330   322.5   1.9   0.09    0.533    -8.0    5.4   0.227E-05    0.102E-04    0.103E-09    1.4971       8.6138    72000
2018  96   700    8.5   -0.6   527.4   0.301   314.4   2.3   0.09    0.281    -5.2    8.4   0.346E-05    0.146E-04    0.213E-09    2.1224      15.0658    72000
2018  96   800    9.7    0.4   571.7   0.465   312.5   1.6   0.10   -0.301     6.0   17.9   0.703E-05    0.267E-04    0.712E-09    1.5886       9.5179    72000
2018  96   900   11.3    0.1   720.4   0.375    35.0   0.7   0.17   -0.126    13.1   30.7   0.120E-04    0.301E-04    0.907E-09    1.7786       8.1418    72000
2018  96  1000   11.5    0.2   739.1   0.248   186.0   2.8   0.19   -0.134    20.4   46.1   0.182E-04    0.414E-04    0.171E-08    2.6995      15.7778    72000
2018  96  1100   12.2    0.1   806.8   0.387   192.9   2.8   0.19   -0.276    44.1   56.0   0.218E-04    0.526E-04    0.276E-08    3.2522      22.9134    72000
2018  96  1200   12.7    0.3   841.3   0.685   203.8   0.9   0.09   -5.908    93.7   88.4   0.338E-04    0.790E-04    0.624E-08    3.5873      21.7147    72000
